episode;date;rating;title;summary
S05E18;1994-04-14;8.3;Burns' Heir;After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature.
S05E19;1994-04-28;8.3;Sweet Seymour Skinner's Baadasssss Song;Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement.
S05E20;1994-05-05;8.3;The Boy Who Knew Too Much;Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences.
S05E21;1994-05-12;7.5;Lady Bouvier's Lover;Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart.
S05E22;1994-05-19;8.0;Secrets of a Successful Marriage;Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge.
S06E01;1994-09-04;8.7;Bart of Darkness;Confined to his room with a broken leg, Bart suspects Ned Flanders of murdering Maude; the family's new swimming pool earns Lisa popularity among the neighborhood kids.
S06E02;1994-09-11;8.1;Lisa's Rival;Lisa is jealous when a new girl in class is smarter than she is; Homer obtains a giant mound of sugar.
S06E03;1994-09-25;5.8;Another Simpsons Clip Show;The family recalls past tales of lost love.
S06E04;1994-10-02;8.6;Itchy & Scratchy Land;A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.
S06E05;1994-10-09;8.2;Sideshow Bob Roberts;When Sideshow Bob is released from prison and is elected Mayor of Springfield, Bart and Lisa suspect foul play and are determined to expose his corruption.
S06E06;1994-10-30;9.2;Treehouse of Horror V;The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.
S06E07;1994-11-06;8.0;Bart's Girlfriend;Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.
S06E08;1994-11-13;8.6;Lisa on Ice;Sibling rivalry between Bart and Lisa ensues when they become the star players of their respective ice hockey teams.
S06E09;1994-11-27;8.9;Homer Badman;Homer accidentally lands himself in trouble with the law and with the kids' babysitter after stealing a gummy replica at a candy convention.
S06E10;1994-12-04;8.0;Grampa vs. Sexual Inadequacy;Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.
S06E11;1994-12-18;7.7;Fear of Flying;Marge goes into therapy to cure her of her traumatizing fear of flying.
S06E12;1995-01-08;9.0;Homer the Great;Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as "the chosen one".
S06E13;1995-01-22;8.8;And Maggie Makes Three;Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.
S06E14;1995-02-05;8.6;Bart's Comet;Bart discovers a comet that is on a collision course with Springfield.
S06E15;1995-02-12;8.6;Homie the Clown;Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia.
